순번,학수번호,교과명,교수성명,점수,소속학과,구분,영역,outline,goal,keyword
125,11429002,중국의사회와문화,김금남,90.8,동양어문학과,교양,인문사회과학,"중국의 사회와 문화에 대한 주제별(민족/도시/언어문자/정치/시회문제/경제/공연예술 등) 탐색을 통해, 현대 중국의 여러 사회현상을 이해한다.","본 교과목은 <중국문화의 이해>와 동시적 혹은 후속적으로 학습할 수 있는 과목이다. 사회와 문화라는 두 차원에서 전통과 현대의 연속성에 대한 이해를 기반으로, 오늘날의 중국에 대한 인식의 폭을 확대함으로써, 미래의 동아시아 및 글로벌사회의 변화에 능동적으로 대처할 수 있는 역량을 키우는데 그 목표를 둔다.",
126,11630001,중급독일어회화1,얀 디륵스,94,유럽어문학과,교양,인문사회과학,X,X,
127,11631001,중급프랑스어회화1,길해옥,96.4,유럽어문학과,교양,인문사회과학,"본 강의는 프랑스어러 의사소통을 하기 위한 기본적 언어 능력을 말하기, 듣기 중심으로 학습하여 실제 상황에서 스스로 대처할 수 있는 능력을 습득하도록 한다. 반복학습을 통한 청취능력 향상및 일상에서 필요한 다양한 회화 표현들을 상황별로 배우면서 손쉽게 생활 프랑스어를 익히도록 한다.",1. 단순회화를 위한 기본어휘를 익히고 받아쓰기를 통해 듣기실습을 강화하여 청취능력을 향상시킨다. 2. 일상에서 마주치는 상황에서 자주 쓰는 표현들을 주제별로 분류하여 회화를 실질적으로 할 수 있는 말하기 능력을 기른다. 3. 프랑스어로 자신의 의견을 표현하는데 자신감을 가질 수 있게 학습하여 자신의 사고를 상대방에게 정확히 전달할 수 있게 한다. 4. 프랑스어 인증 시험을 준비하는 학생들에게 유용한 실습시간이 될 수 있다.,
128,11430001,초급일본어1,이수향,97.4,동양어문학과,교양,인문사회과학,"일본어 기초실력을 다지기 위한 수업이므로 가장 기본이 되는 문자와 발음을 철저히 외우고 시작하도록 합니다. 일본어의 문자와 발음부터 시작하여 일본어 말하기, 읽기, 쓰기에 대한 자신감을 키우기 위해 배운 문형을 활용하여 읽기, 쓰기를 하고 반복하여 말하는 연습을 합니다.","기초 일본어 1은 1학년을 대상으로 한 일본어 기초 다지기 수업입니다. 일본어 기초 실력을 다지기위해 먼저 문법 사항을 익히고 문형을 활용하여 읽기와 듣기, 말하기와 쓰기연습을 합니다.",
129,11931003,초급중국어듣기와 말하기1,김숙향,98.8,동양어문학과,교양,인문사회과학,본 강의는 1학년 중국어 전공자를 위해 개설되었습니다. 따라서 본 강의에서는 중국어를 처음 접하는 학생들이 정확한 중국어 발음을 습득하도록 하는 것을 1차 목표로 삼습니다.또한 본 강의는 학습자가 중국어 학습에 흥미와 자신감을 가지고 적극적인 학습에 임하도록 이끌어 중국어 구사능력을 심화할 수 있도록 탄탄한 기초를 다지도록 합니다.,"본 강의는 중국어를 처음 학습하는 학습자를 대상으로 1.정확한 중국어의 발음을 익히고, 2.기초적인 단어와 문법 지식을 익혀 3.중국어로 기본적인 의사소통이 가능하도록 지도하는 것을 목표로 합니다. 이를 통해 학습자가 향후 심화된 학습이 가능하도록 탄탄한 중국어의 기초를 다집니다. 이러한 목표는 실용적인 단어 및 표현을 반복적으로 학습하는 과정을 통해 자연스럽게 달성될 것입니다.",
130,11931001,초급중국어듣기와 말하기1,신수영,95.8,동양어문학과,교양,인문사회과학,본 강의는 1학년 중국어 전공자를 위해 개설되었습니다. 따라서 본 강의에서는 중국어를 처음 접하는 학생들이 정확한 중국어 발음을 습득하도록 하는 것을 1차 목표로 삼습니다.또한 본 강의는 학습자가 중국어 학습에 흥미와 자신감을 가지고 적극적인 학습에 임하도록 이끌어 중국어 구사능력을 심화할 수 있도록 탄탄한 기초를 다지도록 합니다.,"본 강의는 중국어를 처음 학습하는 학습자를 대상으로 1.정확한 중국어의 발음을 익히고, 2.기초적인 단어와 문법 지식을 익혀 3.중국어로 기본적인 의사소통이 가능하도록 지도하는 것을 목표로 합니다. 이를 통해 학습자가 향후 심화된 학습이 가능하도록 탄탄한 중국어의 기초를 다집니다. 이러한 목표는 실용적인 단어 및 표현을 반복적으로 학습하는 과정을 통해 자연스럽게 달성될 것입니다.",
131,11931002,초급중국어듣기와 말하기1,이은호,93.2,동양어문학과,교양,인문사회과학,본 강의는 1학년 중국어 전공자를 위해 개설되었습니다. 따라서 본 강의에서는 중국어를 처음 접하는 학생들이 정확한 중국어 발음을 습득하도록 하는 것을 1차 목표로 삼습니다.또한 본 강의는 학습자가 중국어 학습에 흥미와 자신감을 가지고 적극적인 학습에 임하도록 이끌어 중국어 구사능력을 심화할 수 있도록 탄탄한 기초를 다지도록 합니다.,"본 강의는 중국어를 처음 학습하는 학습자를 대상으로 1.정확한 중국어의 발음을 익히고, 2.기초적인 단어와 문법 지식을 익혀 3.중국어로 기본적인 의사소통이 가능하도록 지도하는 것을 목표로 합니다. 이를 통해 학습자가 향후 심화된 학습이 가능하도록 탄탄한 중국어의 기초를 다집니다. 이러한 목표는 실용적인 단어 및 표현을 반복적으로 학습하는 과정을 통해 자연스럽게 달성될 것입니다.",
132,11434001,프랑스사회와문화,한선혜,95.8,유럽어문학과,교양,인문사회과학,"공간적 거리를 초월하여 세계가 함께 숨쉬고 느끼며 행동하는 21세기를 살고 있는 우리에게 다른 나라, 다른 사회 이웃들의 삶의 모습과 문화를 제대로 배우고 이해한다는 것은 곧 자신의 교양과 안목을 넓히고, 나아가 앞으로 자신이 꿈을 펼칠 미래 활동 무대를 더 크고 넓게 잡을 수 있음을 의미한다. 본 강의 <프랑스 사회와 문화>는 한 마디로 ""멀고도 가깝게 느껴지는 나라 프랑스로 함께 떠나는 여행""으로 요약될 수 있다. 전체적인 테마를 프랑스의 사계""로 잡고, 프랑스라는 나라에 대한 기초적인 소개부터, 역사와 문화에 이르기까지 프랑스인들의 삶의 모습을 엿볼 수 있는 이모저모를 그들의 한 해의 삶, 즉 사계의 변화와 함께 이야기 형식으로 풀어보고자 한다.","이 강의를 통해 프랑스라는 나라가 어떻게 형성되고, 발전하고, 또 아파하고 고민하며 거듭나고 있는지를 배우고 느낌으로써, 학생들은 프랑스 사회에 대한 기초적인 지식을 습득함과 동시에 자신이 속한 글로벌 세계의 이웃을 보는 시야와 안목을 키우고,인간의 삶과 문화에 대한 새로운 시각과 해석을 얻음으로써, 세상을 더 멀리 보고, 더 크게 꿈꿀 줄 아는 포용력 있는 세계인으로 성장하기를 기대해 본다.",
133,10391001,한국사1,김보광,86.2,가천리버럴아츠칼리지,교양,인문사회과학,"- 한국의 전근대 시기를 중심으로 한 전반적인 흐름과 그 시대의 특징을 파악한다. - 이를 통해 한국사에 대한 이해도를 높이고, 역사적 사고와 판단을 할 수 있게끔 설계된 과목이다. - 정치사,사회경제사 및 문화사를 골고루 알 수 있도록 설계되었다.'","1.우리나라의 역사적 사실들을 단순히 암기하는 것이 아니라 발생한 원인, 전개과정 등을 이해한다. 2.현재문제가되고있는역사분쟁에관한사건들을비판적으로볼수있는안목을기른다. 3.과거우리나라의역사를살펴봄으로써현재우리가얻을수있는교훈이어떤것이있을지를생각해본다. 4.한국사관련시험(한국사능력검정등)에도움이되는강의가되도록한다.",
134,13672001,한국사연습,변종순,90.4,행정학과,교양,인문사회과학,"역사를 보는 횡단적 종단적 분석을 통해 역사적 사건, 정책, 사상이 갖는 그 시대적 의미, 역사적 현재성, 미래가치를 파악하는 시간이 될 것입니다. 상고사, 열국시대, 사국시대, 남북국시대, 고려, 조선, 현대사로 이어지는 시대순에 의한 전형적 구분을 따르되, 전체적인 연결고리를 중심으로 역사의 맥락과 의미를 파악합니다. 제도사나 사건 중심의 나열식 제시보다는 그 시대의 저변에 흐르는 사조와 제도 및 정책 등을 연결하여 우리 역사에 대한 이해도를 높이는 계기가 될 수 있도록 합니다.","우리 역사이해에 있어서 관행적으로 행해지는 제도사 중심의 설명보다 정신사, 정책사, 시대정신을 느낄 수 있도록 강의안을 구성하여 역사에 대한 인식의 지평을 넓힐 수 있는 계기를 제공하고자 합니다. 한국사는 다양한 학문의 종합체적 성격을 지닙니다. 다른 어떤 과목보다 융합적 사고력과 창의적 상상력을 발휘해볼 수 있는 시간입니다. 우리가 잊고 있는 문화와 정신의 원형을 확인하고, 이를 구체화하여 편협된 사고의 틀을 벗어나게 하며 동시에 닫힌 사고의 한계를 뛰어넘어 열린 세계정신을 갖도록 하고자 합니다.",
135,7780001,회계원리,선경아,96,관광경영학과,교양,인문사회과학,"관광/호스피탈리티 경영에 필요한 회계정보를 이해하고 해석하기 위하여, 회계학의 기본원리를 바탕으로, 전반적인 회계정보를 생성 및 공시 과정을 배우고, 이를 활용하여 재무제표를 해석하고 분석하는 능력을 기른다.",1. 회계의 기본원리에 대한 이해 및 순환과정에 대한 반복적 연습을 통해 재무제표를 작성하고 읽을 수 있다. 2. 재무제표 분석기법을 이해하여 회계정보의 의미를 해석함으로써 회사의 재무상태 및 건전성을 평가할 수 있다. 3. 회계지식과 분석기법을 실제관광/호스피탈리티산업체의 재무상태 및 건전성분석에 적용하여 산업에 대한 이해를 높인다.,
136,7780003,회계원리,박환석,95.2,관광경영학과,교양,인문사회과학,본 과목을 통해 한국채택국제회계기준에 입각해서 회계의 기초개념과 원리를 이해하고 회계순환과정을 학습하여 회계정보가 산출되는 과정을 학습하고자 한다. 산출된 회계정보 즉 재무제표는 기업의 재무상태와 경영성과를 나타내는 지표로서 다양한 정보이용자의 의사결정에 미치는 영향에 대해 학습하고자 한다.,1.한국채택국제회계기준을 적용하여 작성되는 재무제표의 회계순환과정(거래 및 분개 등)을 학습하여 기중 회계처리가 재무제표에 미치는 영향 및 다양한 정보이용자의 의사결정에 미치는 영향에 있어 유용한 회계정보의 역할과 중요성을 알아보고자 한다. 2.회계지식과 분석기법을 실제관광/호스피탈리티산업체의 재무상태 및 건전성분석에 적용하여 산업에 대한 이해를 높인다.,
137,8382002,CAD실습,김은형,92.6,도시계획·조경학부,교양,자연과학,"조경 및 도시계획 관련 설계도면들이 CAD로 제작되는 만큼 CAD를 다루는 기술은 취업의 기본적인 요구조건으로 되고 있음. CAD 도면 및 기술을 기반으로 기타 전산설계 관련 소프트웨어를 다룰 수 있기 때문에 CAD는 향후의 전산설계에 있어 필수적임. 본 과목에서는 CAD를 활용하여 기본적인 제도능력을 배양함은 물론, 설계 관련 도면들을 제작하여 봄으로 향후 설계 스튜디오나 졸업작품에 도움을 주고자 함.","업체에서는 설계도면을 전산화하여 사용, 관리하고자하는 노력이 증가하고 있으며 이에 부응한 전문인력이 요구되고 있다. 본교과는 CAD를 활용하여 기본적인 제도능력을 갖출 수 있도록 함은 물론 설계와 관련된 도면을 제작해 봄으로써 향후의 설계 스튜디오나 졸업작품제작에 도움을 주고자 한다.",
138,8382005,CAD실습,김호준,98,기계공학과,교양,자연과학,본 강좌는 컴퓨터를 활용한 도면을 작성하는 것으로 기계제도를 중심으로 도면을 작성하는 기본적인 방법을 익혀 현장에서 생산되고 있는 제품을 가공하는 순서와 제품과 도면과의 관계를 명확히 하여 어떤 도면이라도 이해할 수 있는 공학에 대한 기본적인 지식을 배양한다.,PO1(기초지식) 수학 및 기초과학 그리고 기계공학의 전공지식을 통해 연구과제의 공학적 개념설계가 가능하다. PO3(문제정의) 공학적 지식을 토대로 수학적 모델링 혹은 시스템 설계 방안 등을 도출한다.,
139,8382004,CAD실습,임영식,81.4,도시계획·조경학부,교양,자연과학,본교과에서는 도시계획분야에서 컴퓨터설계지원프로그램인 AutoCAD에 대한 기본적인 조작방법 및 명령어 습득을 통해 도시계획실무에서 필요한 도면작성 및 응용능력을 함양하고자 함,1. AutoCAD 기본적인 사용방법 및 설계를 위한 명령어 습득 2. AutoCAD 배치 및 출력방법 학습 3. AutoCAD를 활용하여 도시계획실무에 필요한 설계능력 배양,
140,13459001,Science Communication 1,조용상,84.2,가천리버럴아츠칼리지,교양,자연과학,"이메일 커뮤니케이션을 포함하는 컴퓨터 매개 커뮤니케이션(CMC)은 직업 생활에서 주류가 되었다. 사람들이 언제 어디서나 소통할 수 있도록 함으로써 추가적인 유연성과 통제력을 제공합니다. 하지만, 그것은 과부하, 스트레스, 중단과 같은 많은 문제들을 동시에 발생시킵니다. CMC가 주요 통신수단으로 의존함에도 불구하고, CMC의 다양한 문제들은 마땅한 우려를 제기하지 않는 것으로 보인다. 본 코스는 주로 CMC에 관한 기본이론 - CMC 구조에 대한 이해 - 전문적 메시지 작성 - 효율적이고 과학적인 관리","본 코스는 CMC 스킬의 전체 범위를 향상시키는 것을 목표로 합니다. CMC에서 요구되는 모든 이슈를 다루며, 학생들은 수업 중 기본지침을 배우고, 지식을 실행에 옮기는 것을 통해 필요한 기술을 습득하게 됩니다. - 학생들은 CMC에 관한 기본이론을 이해할 수 있을 것입니다 - 학생들은 CMC의 지침을 이해하고 적용할 수 있을 것입니다. 전문적인 방법으로 메시지를 성공적으로 만들 수 있다 - 학생들은 CMC를 효율적으로 관리할 수 있을 것이다",
141,13022006,건축종합설계1,박현진,100,건축학부,교양,자연과학,건축설계는 창조적 활동에 의하여 3차원의 공간을 만들어내는 활동이다. 건축종합설계1 과목은 건축학에 입문하는 학생들이 본격적인 건축설계에 들어가기 위한 pre-work 단계로 디자인 프로젝트를 진행하며 기초적인 건축어휘를 배우는 기회가 될 수 있도록 한다. 또한 건축설계에 내재되어 있는 건축가의 의도를 표현하기 위해서는 숙달된 기술을 필요로 하므로 건축적 아이디어를 표현하는 건축의 기초적인 수단을 배워 자신이 표현하려고 하는 창조적 공간을 효과적으로 나타낼 수 있는 표현기법과 표현양식을 익힌다.,"-다양한 규모의 사례조사를 통한 치수와 스케일에 대한 이해와 표현 -육면체의 배치, 연결, 관입을 통한 공간구성 및 솔리드/보이드 표현 -평면, 단면, 입면, 스케치를 통한 도면 실습 -패널 구성 및 포트폴리오 작업을 통한 디자인 정리'",
142,13022007,건축종합설계1,이근혜,99.4,건축학부,교양,자연과학,X,X,
143,13022006,건축종합설계1,나인혜,98.4,건축학부,교양,자연과학,건축설계는 창조적 활동에 의하여 3차원의 공간을 만들어내는 활동이다. 건축종합설계1 과목은 건축학에 입문하는 학생들이 본격적인 건축설계에 들어가기 위한 pre-work 단계로 디자인 프로젝트를 진행하며 기초적인 건축어휘를 배우는 기회가 될 수 있도록 한다. 또한 건축설계에 내재되어 있는 건축가의 의도를 표현하기 위해서는 숙달된 기술을 필요로 하므로 건축적 아이디어를 표현하는 건축의 기초적인 수단을 배워 자신이 표현하려고 하는 창조적 공간을 효과적으로 나타낼 수 있는 표현기법과 표현양식을 익힌다.,"-다양한 규모의 사례조사를 통한 치수와 스케일에 대한 이해와 표현 -육면체의 배치, 연결, 관입을 통한 공간구성 및 솔리드/보이드 표현 -평면, 단면, 입면, 스케치를 통한 도면 실습 -패널 구성 및 포트폴리오 작업을 통한 디자인 정리'",
144,13022009,건축종합설계1,김준호,98.4,건축학부,교양,자연과학,- 공간과 디자인의 관계를 생각해 보는 것 - 인테리어 디자인과 그림을 그리는 방법을 이해하는 것 - 인테리어 디자인을 좀 더 창의적으로 활용할 수 있는 방법을 찾는 것 - 디테일을 만들고 발전시킬 수 있는 방법을 배우는 것',- 실내건축설계의 기본 개념 습득 - 실내건축설계 도면에 대한 이해 및 작성 - 실내공간에 대한 창의적인 아이디어 전개 방법 습득',
145,13022001,건축종합설계1,김명재,98.2,건축학부,교양,자연과학,"건축설계는 창조적 활동에 의하여 3차원의 공간을 만들어내는 활동이다. '건축설계1'은 건축학에 입문하는 학생들이 본격적인 건축설계에 들어가기 위한 pre-work 단계로 단순한 디자인 프로젝트를 진행하며, 기초적인 건축어휘를 배우는 기회가 될 수 있도록 한다. 또한 건축설계에 내재되어 있는 건축가의 의도를 표현하기 위해서는 숙달된 기술을 필요로 하므로 건축적 아이디어를 표현하는 건축의 기초적인 수단을 배워 자신이 표현하려고 하는 창조적 공간을 효과적으로 나타낼 수 있는 표현기법과 표현양식을 익혀야 한다.","각종 건축도서 및 보고서를 간결하고 명쾌하게 작성할 수 있으며, 적절하게 발표할 수 있다. 건축적 아이디어를 스케치, 도서, 모형, 디지털 표현형식 등 다양한 미디어를 사용하여 적절하게 표현할 수 있으며, 이 정보들을 설계에 적용할 수 있다. 건축 및 도시설계의 기초를 이루는 2차원과 3차원 형태 및 공간구성의 기본원리를 이해하고, 이것을 건축적으로 구체화 할 수 있다.",
146,13022007,건축종합설계1,김용성,98.2,건축학부,교양,자연과학,X,X,
147,13022009,건축종합설계1,안은희,98,건축학부,교양,자연과학,- 공간과 디자인의 관계를 생각해 보는 것 - 인테리어 디자인과 그림을 그리는 방법을 이해하는 것 - 인테리어 디자인을 좀 더 창의적으로 활용할 수 있는 방법을 찾는 것 - 디테일을 만들고 발전시킬 수 있는 방법을 배우는 것',- 실내건축설계의 기본 개념 습득 - 실내건축설계 도면에 대한 이해 및 작성 - 실내공간에 대한 창의적인 아이디어 전개 방법 습득',
148,13022002,건축종합설계1,이윤희,97.8,건축학부,교양,자연과학,"건축학에 입문하는 학생들이 본격적인 건축설계에 들어가기 위한 pre-work단계로, 디자인 프로젝트를 진행하며 기초적인 건축어휘를 배우는 기회가 될 수 있도록 한다. 건축적 아이디어를 표현하는 건축의 기초적인 수단을 배워, 자신이 표현하려고 하는 창조적 공간을 효과적으로 나타낼 수 있는 표현기법을 익힌다.","본격적인 건축설계과목들로 진입하기 이전단계로서, 각종 건축적 시각매체 및 구두발표를 활용한 의사소통을 갖추는 것을 목표로 한다. 건축의 공간과 형태, 그리고 인간, 가구 등의 스케일(크기)에 관한 기본적인 감각을 익히고, 자신의 설계의도를 충분히 구현할 수 있는 능력을 기르는 것을 목적으로 한다.",
149,13022003,건축종합설계1,나애나,97.6,건축학부,교양,자연과학,건축설계는 창조적 활동에 의하야 3차원의 공간을 만들어내는 활동이다. '건축종합설계 1'은 건축학에 입문하는 학생들이 본격적인 건축설계에 들어가기 위한 Pre-work 단계로 디자인 프로젝트를 진행하며 기초적인 건축어휘를 배우는 기회가 될 수 있도록 한다. 또한 건축설계에 내재되어 있는 건축가의 의도를 표현하기 위해서는 숙달된 기술을 필요로 하므로 건축적 아이디어를 표현하는 건축의 기초적인 수단을 배워 자신이 표현하려고 하는 창조적 공간을 효과적으로 나타낼 수 있는 표현기법과 표현양식을 익힌다.,"1. 건축공간에 대한 아이디어를 간결하고 명쾌하게 작성하고 발표할 수 있다. 2. 건축적 아이디어를 스케치, 도서, 모형, 디지털 표현형식 등 다양한 미디어를 사용하여 적절하게 표현할 수 있다. 3. 건축 및 도시설계의 기초를 이루는 2차원과 3차원 형태 및 공간구성의 기본원리를 이해하고, 이것을 건축적으로 구체화할 수 있다.",
150,13022003,건축종합설계1,이재홍,96.2,건축학부,교양,자연과학,건축설계는 창조적 활동에 의하야 3차원의 공간을 만들어내는 활동이다. '건축종합설계 1'은 건축학에 입문하는 학생들이 본격적인 건축설계에 들어가기 위한 Pre-work 단계로 디자인 프로젝트를 진행하며 기초적인 건축어휘를 배우는 기회가 될 수 있도록 한다. 또한 건축설계에 내재되어 있는 건축가의 의도를 표현하기 위해서는 숙달된 기술을 필요로 하므로 건축적 아이디어를 표현하는 건축의 기초적인 수단을 배워 자신이 표현하려고 하는 창조적 공간을 효과적으로 나타낼 수 있는 표현기법과 표현양식을 익힌다.,"1. 건축공간에 대한 아이디어를 간결하고 명쾌하게 작성하고 발표할 수 있다. 2. 건축적 아이디어를 스케치, 도서, 모형, 디지털 표현형식 등 다양한 미디어를 사용하여 적절하게 표현할 수 있다. 3. 건축 및 도시설계의 기초를 이루는 2차원과 3차원 형태 및 공간구성의 기본원리를 이해하고, 이것을 건축적으로 구체화할 수 있다.",
151,13022001,건축종합설계1,최동혁,96,건축학부,교양,자연과학,"건축설계는 창조적 활동에 의하여 3차원의 공간을 만들어내는 활동이다. '건축설계1'은 건축학에 입문하는 학생들이 본격적인 건축설계에 들어가기 위한 pre-work 단계로 단순한 디자인 프로젝트를 진행하며, 기초적인 건축어휘를 배우는 기회가 될 수 있도록 한다. 또한 건축설계에 내재되어 있는 건축가의 의도를 표현하기 위해서는 숙달된 기술을 필요로 하므로 건축적 아이디어를 표현하는 건축의 기초적인 수단을 배워 자신이 표현하려고 하는 창조적 공간을 효과적으로 나타낼 수 있는 표현기법과 표현양식을 익혀야 한다.","각종 건축도서 및 보고서를 간결하고 명쾌하게 작성할 수 있으며, 적절하게 발표할 수 있다. 건축적 아이디어를 스케치, 도서, 모형, 디지털 표현형식 등 다양한 미디어를 사용하여 적절하게 표현할 수 있으며, 이 정보들을 설계에 적용할 수 있다. 건축 및 도시설계의 기초를 이루는 2차원과 3차원 형태 및 공간구성의 기본원리를 이해하고, 이것을 건축적으로 구체화 할 수 있다.",
152,13022010,건축종합설계1,이재석,95.2,건축학부,교양,자연과학,- 공간과 디자인의 관계를 생각해 보는 것 - 인테리어 디자인과 그림을 그리는 방법을 이해하는 것 - 인테리어 디자인을 좀 더 창의적으로 활용할 수 있는 방법을 찾는 것 - 디테일을 만들고 발전시킬 수 있는 방법을 배우는 것',- 실내건축설계의 기본 개념 습득 - 실내건축설계 도면에 대한 이해 및 작성 - 실내공간에 대한 창의적인 아이디어 전개 방법 습득',
153,13022010,건축종합설계1,차주현,92.8,건축학부,교양,자연과학,- 공간과 디자인의 관계를 생각해 보는 것 - 인테리어 디자인과 그림을 그리는 방법을 이해하는 것 - 인테리어 디자인을 좀 더 창의적으로 활용할 수 있는 방법을 찾는 것 - 디테일을 만들고 발전시킬 수 있는 방법을 배우는 것',- 실내건축설계의 기본 개념 습득 - 실내건축설계 도면에 대한 이해 및 작성 - 실내공간에 대한 창의적인 아이디어 전개 방법 습득',
154,13022002,건축종합설계1,최현철,91.8,건축학부,교양,자연과학,"건축학에 입문하는 학생들이 본격적인 건축설계에 들어가기 위한 pre-work단계로, 디자인 프로젝트를 진행하며 기초적인 건축어휘를 배우는 기회가 될 수 있도록 한다. 건축적 아이디어를 표현하는 건축의 기초적인 수단을 배워, 자신이 표현하려고 하는 창조적 공간을 효과적으로 나타낼 수 있는 표현기법을 익힌다.","본격적인 건축설계과목들로 진입하기 이전단계로서, 각종 건축적 시각매체 및 구두발표를 활용한 의사소통을 갖추는 것을 목표로 한다. 건축의 공간과 형태, 그리고 인간, 가구 등의 스케일(크기)에 관한 기본적인 감각을 익히고, 자신의 설계의도를 충분히 구현할 수 있는 능력을 기르는 것을 목적으로 한다.",
155,13022005,건축종합설계1,전주리,89.4,건축학부,교양,자연과학,"건축학에 입문하는 설계과정으로 형태의 생성원리를 이해하고, 형태적 유형화를 통해 비교 분석하는 능력을 배양하고, 3D조형물을 종횡으로 절단하고 관찰하여 2D도면을 만드는 능력을 기른다. 획득한 2D도면의 4개를 순열적으로 조합함으로써 풍부한 형태 구성으로 발전시키고, 이 구성도면에 높이와 깊이를 부여하여 3차원 매스로 발전시킨다 .이 매스를 Void와 Solid로 반전시킨 형태를 만들고 비교한다. 인체 척도와 공간 치수에 대한 기초적 학습을 통해 필요한 공간에 대한 학습을 하고, 선택된 형태에 행위를 부여하여 공간을 계획하고 2차원 도면과 모형으로 표현하는 기초적인 프로세스를 학습한다. 작업을 위한 도면의 크기는 A3용지를 기본으로 하며 표현 도구는 과제의 성격에 따라 다양하게 선택한다.","건축종합설계1은 건축을 새롭게 만드는 아이디어의 발상, 전개 및 의사를 결정하는 창조적 요소와 건축적 사고의 결과를 객관적으로 전달할 수 있는 미디어를 습득하는 2가지 분야를 복합하는 특성을 지닌다. 전자는 각자 독특하고 기발한 개성을 나타낼 수 있도록 연구 개발하고, 후자에서도 아이디어의 발상과 전개시키는 단계에서 개성적이고 다양한 매체를 사용할 수 있도록 훈련되는 것이 요구되며 설계 결과를 보여주기 위해 제안하는 도면 작성과정을 학습한다. 본 건축종합설계1은 건축 공간을 이해하기 위해 스티로폼 재료를 사용하여 기본 입방체를 형성하고, 그 중 일정한 숫자들을 빼가며 형성되는 공간의 변화를 관찰하고 스케치하는것으로 시작한다. 이 중하나의 마음에 드는 조합을 선택하여 평면도, 입면도, 단면도, 투시도 등의 도면을 작성해 본다.",
156,13022004,건축종합설계1,문경진,87.6,건축학부,교양,자연과학,- 도면 크기는 일반적으로 A3 사이즈이며 발표 도구는 각 프로젝트에 따라 적절하게 선택될 것입니다. -주간 연습 자료와 프로젝트들은 A3 사이즈 클리어 파일로 잘 정리될 것입니다. -프로젝트 모델의 사진은 8*10 용지로 인쇄되고 클리어 파일로 정리될 것입니다. -모든 오르간 연습 자료입니다.학기 말에 학과 사무실에 제출될 클리어 파일에 몇 주씩 저장되었다. -모든 프로젝트 과정은 디지털 형태로 촬영되어 CD로 제출되었다.,"건축종합설계1은 학생들에게 건축언어의 기본을 배울 수 있는 기회를 제공해 학생들이 다양한 프로젝트를 성문화하는데 도움을 줄 수 있도록 프로그램 되어 있다. 프리아키텍처 과정으로 커뮤니케이션 능력 개발, 비건축 기하학 탐구 등이 수업의 목표이며, 학생들이 비주얼미디어를 통해 프로젝트를 실행·발표해 성취하게 된다.",
157,13022005,건축종합설계1,김일석,87.4,건축학부,교양,자연과학,"건축학에 입문하는 설계과정으로 형태의 생성원리를 이해하고, 형태적 유형화를 통해 비교 분석하는 능력을 배양하고, 3D조형물을 종횡으로 절단하고 관찰하여 2D도면을 만드는 능력을 기른다. 획득한 2D도면의 4개를 순열적으로 조합함으로써 풍부한 형태 구성으로 발전시키고, 이 구성도면에 높이와 깊이를 부여하여 3차원 매스로 발전시킨다 .이 매스를 Void와 Solid로 반전시킨 형태를 만들고 비교한다. 인체 척도와 공간 치수에 대한 기초적 학습을 통해 필요한 공간에 대한 학습을 하고, 선택된 형태에 행위를 부여하여 공간을 계획하고 2차원 도면과 모형으로 표현하는 기초적인 프로세스를 학습한다. 작업을 위한 도면의 크기는 A3용지를 기본으로 하며 표현 도구는 과제의 성격에 따라 다양하게 선택한다.","건축종합설계1은 건축을 새롭게 만드는 아이디어의 발상, 전개 및 의사를 결정하는 창조적 요소와 건축적 사고의 결과를 객관적으로 전달할 수 있는 미디어를 습득하는 2가지 분야를 복합하는 특성을 지닌다. 전자는 각자 독특하고 기발한 개성을 나타낼 수 있도록 연구 개발하고, 후자에서도 아이디어의 발상과 전개시키는 단계에서 개성적이고 다양한 매체를 사용할 수 있도록 훈련되는 것이 요구되며 설계 결과를 보여주기 위해 제안하는 도면 작성과정을 학습한다. 본 건축종합설계1은 건축 공간을 이해하기 위해 스티로폼 재료를 사용하여 기본 입방체를 형성하고, 그 중 일정한 숫자들을 빼가며 형성되는 공간의 변화를 관찰하고 스케치하는것으로 시작한다. 이 중하나의 마음에 드는 조합을 선택하여 평면도, 입면도, 단면도, 투시도 등의 도면을 작성해 본다.",
158,13022004,건축종합설계1,이영,85,건축학부,교양,자연과학,- 도면 크기는 일반적으로 A3 사이즈이며 발표 도구는 각 프로젝트에 따라 적절하게 선택될 것입니다. -주간 연습 자료와 프로젝트들은 A3 사이즈 클리어 파일로 잘 정리될 것입니다. -프로젝트 모델의 사진은 8*10 용지로 인쇄되고 클리어 파일로 정리될 것입니다. -모든 오르간 연습 자료입니다.학기 말에 학과 사무실에 제출될 클리어 파일에 몇 주씩 저장되었다. -모든 프로젝트 과정은 디지털 형태로 촬영되어 CD로 제출되었다.,"건축종합설계1은 학생들에게 건축언어의 기본을 배울 수 있는 기회를 제공해 학생들이 다양한 프로젝트를 성문화하는데 도움을 줄 수 있도록 프로그램 되어 있다. 프리아키텍처 과정으로 커뮤니케이션 능력 개발, 비건축 기하학 탐구 등이 수업의 목표이며, 학생들이 비주얼미디어를 통해 프로젝트를 실행·발표해 성취하게 된다.",
