순번,학수번호,교과명,교수성명,점수,소속학과,구분,Unnamed: 7,outline,goal,keyword
94,9079006,웹프로그래밍,강운구,91.2,컴퓨터공학과,전공,,"최근 IT 기술이 발달하면서 PC 뿐만 아니라 스마트폰, 태블릿PC, 스마트TV, 가전제품 등 다양한 기기에서 다양한 웹 브라우저를 통해 웹 사이트에 접속함에 따라, 다양한 기기와 웹 브라우저에 최적화된 웹 애플리케이션 개발이 주목 받고 있다. 본 과정은 Web 애플리케이션 개발에 가장 기본이 되는 HTML, CSS, Javascript를 이용하여 사용자와 UI가 동적으로 상호작용할 수 있는 웹 페이지를 작성할 수 있는 웹 프로그래밍 기법을 익히며, 이를 기반으로 다양한 기기에 최적화된 웹 페이지를 작성하는 반응형 웹(Responsive Web) 프로그래밍 기법을 익힌다. 이를 위해 본 강좌에서는 HTML5, CSS3, 자바스크립트(Javascript), 제이쿼리(jQuery), 부트스트랩(Bootstrap) 프레임워크에 대해 학습한다. 따라서 본 강좌는 웹과 모바일 애플리케이션 분야의 개발자로 진출하기 위해 준비하는 학생들에게 매우 유용한 수업이 될것으로 기대된다.'","- HTML5와 CSS3, 반응형 웹를 익혀 차세대 웹 표준에 따른 웹 프로그래밍을 할 수 있다. - HTML5, CSS3, Javascript , jQuery를 응용한 동적인 웹 프로그래밍을 할 수 있다. - HTML5, CSS3, Javascript, jQuery와 Bootstrap 프레임워크를 사용하여 깔끔하고 모던한 웹 프로그래밍을 할 수 있다.'","프로그래밍, 5/HTML5, 4/기기, 3/웹 브라우저, 2/최적화, 2/개발, 2/애플리케이션, 2/동적, 2/웹 페이지, 2/작성, 2/기법, 2/반응, 2/강좌, 2/프레임, 2/워크, 2/"
95,9079003,웹프로그래밍,이복기,77.4,컴퓨터공학과,전공,,"웹프로그래밍의 언어를 처음배우는 학생을 대상으로 하는 입문서로서, HTML5, CSS3부터 자바스크립트, JQuery까지 한권으로 기본기를 다질수 있습니다..'",프로그래밍 기초 과정에 익숙하지 않아도 강의를 수강 할수 있도록 기초부터 천천히 진행 할 것입니다. 요즘 웹프로그래밍의 대세를 이루고 있는 HTML5 언어를 사용하여 기초부터 시작하여 작은 종합 프로젝트를 구현 할 것입니다..',"프로그래밍, 3/기초, 3/언어, 2/HTML5, 2/"
96,13688001,응용SW서비스,황희정,94.6,컴퓨터공학과,전공,,x,x,
97,13690001,응용SW연동,이병문,96.6,컴퓨터공학과,전공,,x,x,
98,7932003,인공지능,임준식,90.4,컴퓨터공학과,전공,,"인공지능의 머신러닝과 딥러닝을 파이썬을 기본으로 케라스로 기초로부터 이미지, 텍스트, 시계열 데이터를 처리하는 방법을 다루게 된다. 이를 통해 인공지능의 딥러닝 애플리케이션 구축과 주어진 문제를 해결할 수 있는 능력을 배양한다.'","인공지능의 딥러닝의 기본을 배우고 이해하며 코드를 통해 직접 핵심개념을 체험함으로써 컴퓨터 비전, 이미지 분류, 시계열 예측, 감성분석 등의 문제를 스스로 설계 분석하며 해결할 수 있도록 한다.'","인공지능, 3/기본, 2/이미지, 2/시계열, 2/문제, 2/해결, 2/분석, 2/"
99,7932005,인공지능,이강윤,89.0,컴퓨터공학과,전공,,"This course will introduce students to the theory and practice of Artificial Intelligence. Especially this includes Data Technology evolution by learning BigData, Cloud, IoT and Platform Technology and use cases of Industry digital transformation. < 이강의는 한국학생은 수강할 수 없는 강의입니다>'","This course provides the most comprehensive and cutting-edge introduction to the theory and practice of artificial intelligence in Data Technology, and it introduces how industry change for Digital Transformation.'","강의, 2/"
100,7932001,인공지능,조영임,78.6,컴퓨터공학과,전공,,'인공지능의개요를이해하고국내외동향및관련기술들을강의한다.',"인공지능의개요,주요프로그램,동향,기술을학습한다. 인공지능에서 한국과 미국의 기술수준을 비교하면, 하드웨어와 소프트웨어는 현재 미국과 EU 등이 주도적으로 추진 중으로 성장기에 있는 반면 한국은 아직 도입기에 있다. 또한, 2013년 기준으로 우리나라의 인공지능 국제연구는 미국에 비해 73%를 차지하고 있으며, 대규모 다차원의 실용화 보다는 단위소자연구가 대부분이다. 본 강좌는 인공지능분야의 전문인력양성을 위한 기본 교육을 충실히 하고자 하는 것이 강의의 목표이다.'","인공지능, 5/기술, 3/미국, 3/개요, 2/동향, 2/강의, 2/한국, 2/연구, 2/"
101,12353001,임베디드응용프로그래밍,이병문,91.2,컴퓨터공학과,전공,,x,x,
102,11582004,자료구조,윤유림,96.7,컴퓨터공학과,전공,,"This course covers the concepts of variouse data structures such as arrays, stacks, queues, lists, tress, graphs, hash tables, sets, and their applications. Students will develop abilities for implementing appropriate data structures for the given problem using programming languages.'","- Learning concepts of basic data structures: array, list, stack, queue, tree, graph, and hash table - Developing abilities to implement various data structures in programing languages - Improving programming skills by applying various datat structures'",
103,11582002,자료구조,오상엽,95.7,컴퓨터공학과,전공,,"자료구조는 데이터를 저장 및 처리하기 위한 선형 구조와 비선형 구조를 가지고 데이터의 입출력을 수행하며, 이에 대한 알고리즘과 기본 내용을 강의한다.'",자료 구조 학습을 통해 기본 프로그래밍의 이해와 시스템에서 사용되는 기본적인 자료구조에 대한 이해를 한다.',"구조, 4/기본, 3/자료, 2/데이터, 2/이해, 2/"
104,11582007,자료구조,유현,91.0,컴퓨터공학과,전공,,"최근 IoT, 빅데이터와 관련된 산업의 발달으로 다양한 데이터가 생성되고 있습니다. 본 강의는 이러한 데이터를 구조적으로 표현하는 방식과 이를 구현하는 데 필요한 알고리즘에 대한 내용을 학습합니다. 데이터를 보다 효율적으로 사용하기 위하여 리스트, 스택, 큐, 데크, 트리, 그래프를 학습하고 C언어를 사용하여 구현합니다. 복잡한 자료로 부터 핵심적인 내용을 검색하는 방법에 대하여 알아보고 다양한 정렬 방법을 구현합니다. 이러한 과정은 향후 운영체제, 데이터베이스 등에서 사용되는 데이터 구조에 대한 이해의 기초가 됩니다.'","다양한 데이터 구조 설계 이해 및 구현 데이터 구조와 사용방식에 따른 효과적인 정렬, 검색 구현'","데이터, 7/구현, 5/구조, 4/사용, 4/방식, 2/내용, 2/학습, 2/검색, 2/방법, 2/정렬, 2/이해, 2/"
105,11582001,자료구조,이복기,82.4,컴퓨터공학과,전공,,"컴퓨터 자료는 어떠한 형태로 구성 되어 있고, 원하는 컴퓨터 자료가 어떻게 가공되어 문제를해결하는데 도움이 되는지 필요한방법을 배우고 익히고자 한다. 따라서 문제를 해결 할 수 있는 알고리즘을 이론으로 배우고, 실습언어는 가장 기본적으로 많이 쓰이는 C로 구현 해보고자 한다.'",우리 주변을 살펴보자. 내 책상 위에 있 는책꽂이에는 책들이 어떤 순서로 놓여있나? 필통 안에는 필기도구가 어떤순서로 되어있나? 어머니가 즐겨 쓰시는 주방에 접시들은 닦은 후 어떤 순서로 쌓아놓으며 꺼낼 때는어떤 순서로 꺼내는가. 학교에 등교하기 위하여 버스를 타면 동전은 어떠한 형태로 쌓이고 어떤 형식으로 나오는가를 배우고 컴퓨터 프로그래밍을 통하여 표현하고자 한다.',"순서, 4/컴퓨터, 2/자료, 2/형태, 2/문제, 2/해결, 2/"
106,8357002,전자디스플레이공학,장영진,95.8,컴퓨터공학과,전공,,x,x,
107,13783001,정보보호,홍성삼,88.4,컴퓨터공학과,전공,,x,x,
108,13779001,취업브리지-웹·모바일 응용,황희정,93.8,컴퓨터공학과,전공,,x,x,
109,6823001,컴퓨터공학개론,윤영기,97.4,컴퓨터공학과,전공,,x,x,
110,6823004,컴퓨터공학개론,오기욱,93.3,컴퓨터공학과,전공,,"컴퓨터의 발전과 기반 지식을 주제로 하여 컴퓨터 시스템의 기본 구조, 소프트웨어의 정의, 중요성과 역할, 운영체제를 살펴보며, 컴퓨터 통신과 인터넷 및 떠오르는 4차 산업혁명 기술에 대해 살펴보겠다. 또 모바일 컴퓨팅 기술과 환경과 데이터베이스와 컴퓨터 보안과 관련된 부분에 대해서도 살펴보겠으며, 디지털 혁명을 비롯하여 컴퓨터의 개요, 정보기술 산업, 컴퓨터의 활용 분야 등에 대해서 살펴보겠다.'",컴퓨터 공학과에서 다루어야할 많은 교과목에 대해서 포괄적으로 이해하는데 도움이 되도록 다양한 주제들에 대해 살펴보겠으며 미래사회의 기술 방향에 대해서 살펴보겠다.',"컴퓨터, 5/기술, 3/주제, 2/산업, 2/혁명, 2/"
111,6823002,컴퓨터공학개론,박양재,90.4,컴퓨터공학과,전공,,컴퓨터공학과 신입생들이 앞으로 이수하게 될 전공과목의 개념정립과 자신의 적성에 적합한 전공분야를 선택하는 기준이 되는 중요한 교과목입니다.',"오늘날 컴퓨터 기술의 발전과 정보통신 기술의 확기적인 발달은 우리의 일상생활을 크게 변화 시키고 있습니다. 이에 컴퓨터공학을 전공하는 학생들이 체계적이고 포괄적으로 컴퓨터공학 전반에 관한 개념의 숙지와 급변하는 최신 컴퓨터 관련 핵심 기술들까지 폭 넓게 이해하는데 수업의 목표가 있습니다. 첫째는 컴퓨터와 관련된 하드웨어와 소프트웨어의 동향 및 핵심 기술인 멀티미디어, 통신, 인터넷, 최신 컴퓨터 응용 기술, IT융합 기술, 컴퓨터 보안, 미래 컴퓨터 기술과 응용까지 다양하게 지식을 습득하는데 있습니다. 둘째, 관련된 정보를 설명하기 위한 적당한 사진 자료 및 동영상 자료로 이해를 증진 시킵니다. 셋째, 신입생들이 고학년 학기에서 이수하게 될 컴퓨터와 관련된 다양한 주제의 폭 넓은 이해를 위하여 간단 명료하게 개념을 설명하여 이해를 증진 시키는데 목표가 있습니다.'","기술, 7/컴퓨터, 6/관련, 4/이해, 4/컴퓨터공학, 3/개념, 3/신입생, 2/이수, 2/전공, 2/최신, 2/핵심, 2/목표, 2/응용, 2/설명, 2/자료, 2/증진, 2/"
112,12352001,클라우드/빅데이터,이영호,93.8,컴퓨터공학과,전공,,x,x,
113,12352003,클라우드/빅데이터,이강윤,89.6,컴퓨터공학과,전공,,x,x,
114,12578005,현장실습연계프로젝트,조영임,93.2,컴퓨터공학과,전공,,x,x,
115,12578006,현장실습연계프로젝트,이병문,92.6,컴퓨터공학과,전공,,x,x,
116,3490003,VLSI시스템설계,조성재,88.2,전자공학과,전공,,x,x,
117,3490001,VLSI시스템설계,최성재,83.8,전자공학과,전공,,x,x,
118,10797005,공업수학1,유호천,99.6,전자공학과,전공,,x,x,
119,10797004,공업수학1,남성식,95.6,전자공학과,전공,,x,x,
120,10797002,공업수학1,김영준,95.4,전자공학과,전공,,x,x,
121,6547006,기초회로실험1,조의식,97.0,전자공학과,전공,,x,x,
122,6547005,기초회로실험1,이태봉,93.8,전자공학과,전공,,x,x,
123,6547004,기초회로실험1,정재필,91.4,전자공학과,전공,,x,x,
124,6547003,기초회로실험1,이달호,90.4,전자공학과,전공,,x,x,
125,6547002,기초회로실험1,이원재,88.0,전자공학과,전공,,x,x,
126,6547007,기초회로실험1,조성보,85.8,전자공학과,전공,,x,x,
127,13145001,디스플레이 구동회로 설계 실습 II,권상직,94.4,전자공학과,전공,,x,x,
128,13144001,디스플레이 시스템 설계 실습,신충선,97.0,전자공학과,전공,,x,x,
129,3413003,디지털공학,김창현,97.0,전자공학과,전공,,x,x,
130,3413001,디지털공학,김장원,93.9,전자공학과,전공,,x,x,
131,3511002,디지털통신,정재필,84.8,전자공학과,전공,,x,x,
132,3511001,디지털통신,정수경,84.6,전자공학과,전공,,x,x,
133,8069004,물리전자공학1,조의식,97.0,전자공학과,전공,,x,x,
134,8069002,물리전자공학1,권상직,90.6,전자공학과,전공,,x,x,
135,8069005,물리전자공학1,조성재,84.2,전자공학과,전공,,x,x,
136,8069003,물리전자공학1,박정철,83.4,전자공학과,전공,,x,x,
137,933004,센서공학,유호천,98.6,전자공학과,전공,,x,x,
138,933001,센서공학,한형석,94.7,전자공학과,전공,,x,x,
139,933002,센서공학,박정철,84.8,전자공학과,전공,,x,x,
140,6554006,전자공학실험1,김영준,96.4,전자공학과,전공,,x,x,
141,6554005,전자공학실험1,기현철,93.8,전자공학과,전공,,x,x,
142,6554003,전자공학실험1,권상직,91.2,전자공학과,전공,,x,x,
143,6554001,전자공학실험1,정재필,90.8,전자공학과,전공,,x,x,
144,6554004,전자공학실험1,박정철,88.8,전자공학과,전공,,x,x,
145,6554002,전자공학실험1,최성재,86.6,전자공학과,전공,,x,x,
146,6555003,전자공학실험3,김장원,97.2,전자공학과,전공,,x,x,
147,6555001,전자공학실험3,송대건,93.2,전자공학과,전공,,x,x,
148,6555004,전자공학실험3,한형석,89.2,전자공학과,전공,,x,x,
149,6555002,전자공학실험3,김장원,86.8,전자공학과,전공,,x,x,
150,6555005,전자공학실험3,한형석,79.2,전자공학과,전공,,x,x,
151,10429002,전자기학1,조성보,89.6,전자공학과,전공,,x,x,
152,10429004,전자기학1,조성재,83.8,전자공학과,전공,,x,x,
153,8357001,전자디스플레이공학,조상준,98.8,전자공학과,전공,,x,x,
154,8357003,전자디스플레이공학,김창현,95.2,전자공학과,전공,,x,x,
155,8357002,전자디스플레이공학,권상직,93.8,전자공학과,전공,,x,x,
156,12355006,전자응용설계,조의식,96.8,전자공학과,전공,,x,x,
157,12355003,전자응용설계,박정철,94.4,전자공학과,전공,,x,x,
158,12355005,전자응용설계,한형석,93.0,전자공학과,전공,,x,x,
159,12355007,전자응용설계,이태봉,93.0,전자공학과,전공,,x,x,
160,12355001,전자응용설계,이원재,90.0,전자공학과,전공,,x,x,
161,12355004,전자응용설계,정재필,88.2,전자공학과,전공,,x,x,
162,12355002,전자응용설계,이달호,85.2,전자공학과,전공,,x,x,
163,8603004,전자회로,김영준,97.2,전자공학과,전공,,x,x,
164,8603001,전자회로,최성재,92.2,전자공학과,전공,,x,x,
165,8603002,전자회로,기현철,87.1,전자공학과,전공,,x,x,
166,13142001,정보 디스플레이 공학,이익수,99.6,전자공학과,전공,,x,x,
167,11857003,제어공학,이태봉,94.4,전자공학과,전공,,x,x,
168,11857001,제어공학,이달호,92.0,전자공학과,전공,,x,x,
169,12357001,종합설계1,박정철,100.0,전자공학과,전공,,x,x,
170,10899001,통신이론,박상원,100.0,전자공학과,전공,,x,x,
171,3468001,통신이론,남성식,91.7,전자공학과,전공,,x,x,
172,5943005,회로이론1,김창현,96.6,전자공학과,전공,,x,x,
173,5943004,회로이론1,이태봉,94.8,전자공학과,전공,,x,x,
174,5943002,회로이론1,이원재,94.8,전자공학과,전공,,x,x,
175,10797003,공업수학1,장경욱,87.1,전기공학과,전공,,x,x,
176,9405007,공학설계,최형욱,98.4,전기공학과,전공,,x,x,
177,9405009,공학설계,박정웅,93.4,전기공학과,전공,,x,x,
178,9405010,공학설계,한상수,91.8,전기공학과,전공,,x,x,
179,9405006,공학설계,박용서,91.8,전기공학과,전공,,x,x,
180,9405008,공학설계,손진근,81.2,전기공학과,전공,,x,x,
181,13370003,기초전기공학실험 1,박정웅,95.2,전기공학과,전공,,x,x,
182,13370002,기초전기공학실험 1,장경욱,88.8,전기공학과,전공,,x,x,
183,13370004,기초전기공학실험 1,홍정수,88.2,전기공학과,전공,,x,x,
184,13370001,기초전기공학실험 1,김경환,77.2,전기공학과,전공,,x,x,
185,13154001,디지털시스템응용,박영하,95.8,전기공학과,전공,,x,x,
186,13154001,디지털시스템응용,손성용,94.8,전기공학과,전공,,x,x,
187,5769001,반도체공학,최형욱,97.3,전기공학과,전공,,x,x,
188,12322002,센서시스템공학,박영하,98.4,전기공학과,전공,,x,x,
189,12322001,센서시스템공학,박정웅,92.6,전기공학과,전공,,x,x,
190,13155001,스마트에너지시스템 특론,손성용,99.0,전기공학과,전공,,x,x,
191,13157001,신재생 연계운영 시스템,박영하,98.2,전기공학과,전공,,x,x,
192,10798001,에너지 변환 공학,강장규,91.4,전기공학과,전공,,x,x,
193,9406002,응용전기공학실험1,손진근,89.8,전기공학과,전공,,x,x,
194,9406001,응용전기공학실험1,김경환,90.8,전기공학과,전공,,x,x,
195,9406004,응용전기공학실험1,손성용,88.0,전기공학과,전공,,x,x,
196,3855003,전기공학실험1,최형욱,96.1,전기공학과,전공,,x,x,
197,3855001,전기공학실험1,박용서,92.7,전기공학과,전공,,x,x,
198,12670001,전기기기1,김원호,96.6,전기공학과,전공,,x,x,
199,11824002,전력공학,추순남,91.0,전기공학과,전공,,x,x,
200,11824003,전력공학,강장규,90.2,전기공학과,전공,,x,x,
201,3492002,전력전자공학,경신수,95.0,전기공학과,전공,,x,x,
202,3492001,전력전자공학,손진근,94.6,전기공학과,전공,,x,x,
203,8604002,전자기학,홍정수,97.6,전기공학과,전공,,x,x,
204,8604001,전자기학,김원호,94.6,전기공학과,전공,,x,x,
205,12671001,제어공학1,손성용,98.4,전기공학과,전공,,x,x,
206,10897001,제어공학1,한상수,94.9,전기공학과,전공,,x,x,
207,3738001,통신공학,이진호,94.2,전기공학과,전공,,x,x,
208,5765001,플라즈마공학,김경환,87.3,전기공학과,전공,,x,x,
209,13192001,플랫폼이론,김원호,100.0,전기공학과,전공,,x,x,
210,11897001,회로이론,박용서,94.0,전기공학과,전공,,x,x,
211,12675001,디지털회로 및 실습,유병욱,97.6,에너지IT학과,전공,,x,x,
212,12949001,에너지융합설계프로젝트1,김창복,99.2,에너지IT학과,전공,,x,x,
213,12949002,에너지융합설계프로젝트1,김종우,92.4,에너지IT학과,전공,,x,x,
214,13191001,열시스템공학,김인수,86.2,에너지IT학과,전공,,x,x,
215,13193001,인공지능 및 머신러닝,김종우,91.2,에너지IT학과,전공,,x,x,
216,12361001,임베디드시스템,김창복,97.6,에너지IT학과,전공,,x,x,
217,11824001,전력공학,홍준희,97.6,에너지IT학과,전공,,x,x,
218,12897002,조직행동,임동진,81.7,에너지IT학과,전공,,x,x,
